biz_name,biz_info,e_address,e_city,e_state,e_postal,e_country,loc_county,loc_LAT_poly,loc_LONG_poly,biz_phone,web_url,f_emergency,biz_bedcount
CROSSRIDGE COMMUNITY HOSPITAL,C,310 S Falls Blvd,Wynne,AR,72396,USA,Cross,35.221321,-90.78724,(870) 238-3300,,TRUE,
HENRY FORD WYANDOTTE HOSPITAL,A,2333 Biddle Ave,Wyandotte,MI,48192,USA,Wayne,42.21042,-83.148766,(734) 246-6000,http://www.henryfordhealth.org,TRUE,355
WRAY COMMUNITY DISTRICT HOSPITAL,C,1017 W 7th St,Wray,CO,80758,USA,Yuma,40.075524,-102.234397,(970) 332-4811,,TRUE,
SANFORD  WORTHINGTON MEDICAL CENTER,A,1018 6th Ave,Worthington,MN,56187,USA,Nobles,43.621914,-95.598829,(507) 372-2941,http://www.worthingtonhospital.com,TRUE,66
WASHAKIE MEDICAL CENTER,C,400 S 15th St,Worland,WY,82401,USA,Washakie,44.013704,-107.948436,(307) 347-3221,,TRUE,
ADCARE HOSPITAL OF WORCESTER INC,A,107 Lincoln St,Worcester,MA,1605,USA,Worcester,42.276355,-71.795237,(508) 799-9000,http://www.adcare.com,TRUE,114
UMASS MEMORIAL MEDICAL CENTER INC,A,55 Lake Ave,Worcester,MA,1604,USA,Worcester,42.271674,-71.75866,(508) 334-1000,,TRUE,
ST VINCENT HOSPITAL,A,123 Summer St,Worcester,MA,1608,USA,Worcester,42.266041,-71.795655,(508) 363-5000,,TRUE,
WOOSTER COMMUNITY HOSPITAL,A,1761 Beall Ave,Wooster,OH,44691,USA,Wayne,40.820545,-81.934104,(330) 263-8100,,TRUE,90
"LANDMARK MEDICAL CENTER,  INC",A,115 Cass Ave,Woonsocket,RI,2895,USA,Providence,42.005281,-71.496511,(401) 769-4100,http://www.landmarkmedical.org,TRUE,153
WOODWARD REGIONAL HOSPITAL,A,900 17th St,Woodward,OK,73801,USA,Woodward,36.438283,-99.400895,(580) 256-5511,,TRUE,68
TYLER COUNTY HOSPITAL,A,1100 W Bluff St,Woodville,TX,75979,USA,Tyler,30.775406,-94.427841,(409) 283-8141,,TRUE,26
COTTAGE HOSPITAL,C,90 Swiftwater Cir,Woodsville,NH,3785,USA,Grafton,44.117743,-71.942652,(603) 747-9000,,TRUE,
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,A,3701 Doty Rd,Woodstock,IL,60098,USA,McHenry,42.274693,-88.399085,(815) 788-5823,http://www.centegra.org,TRUE,126
SHENANDOAH MEMORIAL HOSPITAL,C,759 S Main St,Woodstock,VA,22664,USA,Shenandoah,38.872671,-78.512646,(540) 459-1100,,TRUE,
HOWARD YOUNG MED CTR,A,240 Maple St,Woodruff,WI,54568,USA,Vilas,45.894427,-89.701635,(715) 356-8000,,TRUE,125
PIKES PEAK REGIONAL HOSPITAL,C,16420 E Us Highway 24,Woodland Park,CO,80863,USA,Teller,38.979273,-105.042559,(719) 687-9999,,TRUE,
MOTION PICTURE & TELEVISION HOSPITAL,A,23388 Mulholland Dr,Woodland Hills,CA,91364,USA,Los Angeles,34.158404,-118.636097,(818) 876-1888,http://www.mptvfund.org,TRUE,218
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,A,5601 De Soto Ave,Woodland Hills,CA,91367,USA,Los Angeles,34.17225,-118.588254,(818) 719-3800,http://www.kaiserpermanente.org,TRUE,148
WOODLAND MEMORIAL HOSPITAL,A,1325 Cottonwood St,Woodland,CA,95695,USA,Yolo,38.663411,-121.793214,(530) 662-3961,http://www.chw.edu,TRUE,103
HEALTHEAST WOODWINDS HOSPITAL,A,1925 Woodwinds Dr,Woodbury,MN,55125,USA,Washington,44.920536,-92.979922,(651) 232-6880,,TRUE,
UNDERWOOD MEMORIAL HOSPITAL,A,509 N Broad St,Woodbury,NJ,8096,USA,Gloucester,39.843514,-75.149285,(856) 845-0100,http://www.umhospital.org,TRUE,242
STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL,A,324 Doolittle Rd,Woodbury,TN,37190,USA,Cannon,35.832184,-86.072946,(615) 563-4001,http://www.stonesriverhospital.com,TRUE,55
POTOMAC HOSPITAL,A,2300 Opitz Blvd,Woodbridge,VA,22191,USA,Prince William,38.63488,-77.28433,(703) 670-1313,http://www.potomachospital.com,TRUE,137
TRINITY HOSPITAL,C,315 Knapp St,Wolf Point,MT,59201,USA,Roosevelt,48.101211,-105.641268,(406) 653-6500,,TRUE,
HUGGINS HOSPITAL,C,240 S Main St,Wolfeboro,NH,3894,USA,Carroll,43.580736,-71.201107,(603) 569-7500,,TRUE,
WISHEK COMMUNITY HOSPITAL,C,1007 4th Ave S,Wishek,ND,58495,USA,McIntosh,46.25522,-99.551878,(701) 452-2326,,TRUE,
RIVERVIEW HSPTL ASSOC,A,410 Dewey St,Wisconsin Rapids,WI,54494,USA,Wood,44.382105,-89.829639,(715) 423-6060,http://www.rhahealthcare.org,TRUE,197
LIFE LINE HOSPITAL,A,200 School St,Wintersville,OH,43953,USA,Jefferson,40.3730112,-80.6997014,(740) 346-2600,,TRUE,
MADISON COUNTY MEMORIAL HOSPITAL,C,300 W Hutchings St,Winterset,IA,50273,USA,Madison,41.328699,-94.017108,(515) 462-2373,,TRUE,
NORTH RUNNELS HOSPITAL,C,7821 Fm-153,Winters,TX,79567,USA,Runnels,31.949734,-99.9577,(325) 754-4553,,TRUE,
FORSYTH MEMORIAL HOSPITAL,A,3333 Silas Creek Pky,Winston-Salem,NC,27103,USA,Forsyth,36.072652,-80.296451,(336) 718-5000,http://www.novanthealth.org,TRUE,714
NORTH CAROLINA BAPTIST HOSPITAL,A,Medical Center Blvd,Winston-Salem,NC,27157,USA,Forsyth,36.0892758,-80.2713139,(336) 716-2011,http://www.wfubmc.edu,TRUE,770
MEDICAL PARK HOSPITAL,A,1950 S Hawthorne Rd,Winston-Salem,NC,27103,USA,Forsyth,36.0783,-80.295612,(336) 718-0600,,TRUE,40
LITTLE COLORADO MEDICAL CENTER,C,1501 N Williamson Ave,Winslow,AZ,86047,USA,Navajo,35.035508,-110.691884,(928) 289-4691,,TRUE,
WINONA HEALTH SERVICES,A,855 Mankato Ave,Winona,MN,55987,USA,Winona,44.033487,-91.62231,(507) 454-3650,http://www.winonahealth.org,TRUE,76
TYLER HOLMES MEMORIAL HOSPITAL CAH,C,409 Tyler Holmes Dr,Winona,MS,38967,USA,Montgomery,33.490174,-89.73788,(662) 283-4114,,TRUE,
FRANKLIN MEDICAL CENTER,A,2106 Loop Rd,Winnsboro,LA,71295,USA,Franklin,32.158297,-91.705275,(318) 435-9411,,TRUE,47
FAIRFIELD MEMORIAL HOSPITAL,C,321 Bypass,Winnsboro,SC,29180,USA,Fairfield,34.401979,-81.103234,(803) 635-0233,,TRUE,
MOTHER FRANCES HOSPITAL- WINNSBORO,A,719 W Coke Rd,Winnsboro,TX,75494,USA,Wood,32.947869,-95.305179,(903) 342-5227,http://www.texashealth.org,TRUE,46
WINN PARISH MEDICAL CENTER,A,301 W Boundary Ave,Winnfield,LA,71483,USA,Winn,31.924869,-92.645057,(318) 648-3007,http://www.winnparishmedical.com,TRUE,103
WINNER REGIONAL HEALTHCARE CENTER - CAH,C,745 E 8th St,Winner,SD,57580,USA,Tripp,43.370735,-99.847924,(605) 842-7100,,TRUE,
HUMBOLDT GENERAL HOSPITAL,C,118 E Haskell St,Winnemucca,NV,89445,USA,Humboldt,40.97154,-117.728224,(775) 623-5222,,TRUE,
WINNEBAGO IHS HOSPITAL,A,U.S. 77,Winnebago,NE,68030,USA,Dakota,42.2366153,-96.4723756,(402) 878-2231,,TRUE,30
NORTHWEST MEDICAL CENTER,A,1530 US-43,Winfield,AL,35594,USA,Fayette,33.928921,-87.816947,(205) 487-7736,http://www.northwestmedcenter.com,TRUE,71
CENTRAL DUPAGE HOSPITAL,A,25 N Winfield Rd,Winfield,IL,60190,USA,DuPage,41.872664,-88.158138,(630) 682-1600,http://www.cdh.org,TRUE,326
WILLIAM NEWTON HOSPITAL,C,1300 E 5th Ave,Winfield,KS,67156,USA,Cowley,37.244717,-96.981918,(620) 221-2300,,TRUE,
BERTIE MEMORIAL HOSPITAL,C,1403 S King St,Windsor,NC,27983,USA,Bertie,35.989231,-76.928291,(252) 794-6600,,TRUE,
MT ASCUTNEY HOSPITAL,C,289 County Rd,Windsor,VT,5089,USA,Windsor,43.487571,-72.401137,(802) 674-6711,,TRUE,
WINDOM AREA HOSPITAL,C,2150 Hospital Dr,Windom,MN,56101,USA,Cottonwood,43.877631,-95.114993,(507) 831-2400,,TRUE,
BARROW REGIONAL MEDICAL CENTER,A,316 N Broad St,Winder,GA,30680,USA,Barrow,34.007268,-83.706894,(770) 307-5210,http://www.barrowmedical.com,TRUE,56
WINDBER HOSPITAL,A,600 Somerset Ave,Windber,PA,15963,USA,Somerset,40.242115,-78.838037,(814) 467-3000,,TRUE,
ST VINCENT RANDOLPH HOSPITAL INC,C,473 E Greenville Ave,Winchester,IN,47394,USA,Randolph,40.168568,-84.971057,(765) 584-0004,,TRUE,
JEFFERSON COUNTY MEMORIAL HOSPITAL,C,408 Delaware St,Winchester,KS,66097,USA,Jefferson,39.325271,-95.270462,(913) 774-4340,,TRUE,
CLARK REGIONAL MEDICAL CENTER,A,1107 W Lexington Ave,Winchester,KY,40391,USA,Clark,37.999976,-84.196611,(859) 745-3500,http://www.clarkhospital.org,TRUE,100
WINCHESTER HOSPITAL,A,41 Highland Ave,Winchester,MA,1890,USA,Middlesex,42.46596,-71.121303,(781) 729-9000,http://www.winchesterhospital.org,TRUE,182
SOUTHERN TENNESSEE MEDICAL CENTER,A,185 Hospital Rd,Winchester,TN,37398,USA,Franklin,35.17623,-86.090788,(931) 967-8295,http://www.southerntennessee.com,TRUE,159
WINCHESTER MEDICAL CENTER INC,A,"220 Campus Blvd, #210",Winchester,VA,22601,USA,Winchester City,39.200462,-78.188764,(540) 536-7654,,TRUE,
WILSON MEDICAL CENTER,A,1705 Tarboro St SW,Wilson,NC,27893,USA,Wilson,35.721756,-77.934361,(252) 399-8040,http://www.wilsonmemorial.com,TRUE,220
ST FRANCIS HOSPITAL,A,W 7th St &amp; N Clayton St,Wilmington,DE,19805,USA,New Castle,39.74952,-75.566589,(302) 421-4100,,TRUE,222
NEW HANOVER REGIONAL MEDICAL CENTER,A,"2131 S 17th St, #9000",Wilmington,NC,28401,USA,New Hanover,34.206526,-77.924193,(910) 343-7000,,TRUE,
CMH REGIONAL HEALTH SYSTEM,A,610 W Main St,Wilmington,OH,45177,USA,Clinton,39.445349,-83.839502,(937) 382-6611,http://www.cmhregional.com,TRUE,93
GLENN MEDICAL CENTER,C,1133 W Sycamore St,Willows,CA,95988,USA,Glenn,39.520601,-122.207691,(530) 934-1818,,TRUE,
RICE MEMORIAL HOSPITAL,A,301 Becker Ave SW,Willmar,MN,56201,USA,Kandiyohi,45.120399,-95.046453,(320) 231-4227,http://www.ricehospital.com,TRUE,185
FRANK R HOWARD MEMORIAL HOSPITAL,C,1 Madrone St,Willits,CA,95490,USA,Mendocino,39.400882,-123.349774,(707) 459-6801,,TRUE,
TRI COUNTY HOSPITAL - WILLISTON,A,125 SW 7th St,Williston,FL,32696,USA,Levy,29.383908,-82.455632,(352) 528-2801,,TRUE,40
MERCY MEDICAL CENTER,C,1301 15th Ave W,Williston,ND,58801,USA,Williams,48.155429,-103.645534,(701) 774-7400,,TRUE,
LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,A,218 Sunset Rd,Willingboro,NJ,8046,USA,Burlington,40.048426,-74.882907,(609) 835-2900,,TRUE,225
WINDHAM COMM MEM HOSP & HATCH HOSP,A,112 Mansfield Ave,Willimantic,CT,6226,USA,Windham,41.716717,-72.224127,(860) 456-9116,http://www.windhamhospital.org,TRUE,80
ST ELIZABETH GRANT,C,238 Barnes Rd,Williamstown,KY,41097,USA,Grant,38.648386,-84.576897,(859) 824-8240,,TRUE,
MARTIN GENERAL HOSPITAL,A,310 S McCaskey Rd,Williamston,NC,27892,USA,Martin,35.840847,-77.07323,(252) 809-6179,,TRUE,49
ST VINCENT WILLIAMSPORT HOSPITAL INC,C,412 N Monroe St,Williamsport,IN,47993,USA,Warren,40.290146,-87.295573,(765) 762-4000,,TRUE,
WILLIAMSPORT HOSPITAL & MEDICAL CENTER,A,777 Rural Ave,Williamsport,PA,17701,USA,Lycoming,41.247668,-77.016959,(570) 321-1000,,TRUE,
WILLIAMSON MEMORIAL HOSPITAL,A,859 Alderson St,Williamson,WV,25661,USA,Mingo,37.677879,-82.272203,(304) 235-2500,http://www.hmawmh.com,TRUE,76
SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,A,Sentara Cir,Williamsburg,VA,23188,USA,James City,37.3380089,-76.7393935,(757) 984-6000,,TRUE,
EASTERN STATE HOSPITAL,A,4601 Ironbound Rd,Williamsburg,VA,23188,USA,James City,37.285871,-76.734331,(757) 253-5161,http://www.easternstatehospital.org,TRUE,581
NORTHERN COCHISE COMMUNITY HOSPITAL,C,901 W Rex Allen Dr,Willcox,AZ,85643,USA,Cochise,32.264304,-109.837164,(520) 384-3541,,TRUE,
MERCY HOSPITAL OF WILLARD,C,110 E Howard St,Willard,OH,44890,USA,Huron,41.048462,-82.72446,(419) 964-5000,,TRUE,
WILKES BARRE VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,1111 E End Blvd,Wilkes-Barre,PA,18702,USA,Luzerne,41.247595,-75.841229,(570) 824-3521,,TRUE,
WILKES-BARRE GENERAL HOSPITAL,A,575 N River St,Wilkes-Barre,PA,18702,USA,Luzerne,41.258372,-75.867945,(570) 829-8111,,TRUE,
GEISINGER WYOMING VALLEY MEDICAL CENTER,A,100 E Mountain Dr,Wilkes-Barre,PA,18702,USA,Luzerne,41.26098,-75.813694,(570) 826-7300,http://www.geisinger.edu,TRUE,111
"WILD ROSE COM MEM HOSPITAL, INC",C,601 Grove Ave,Wild Rose,WI,54984,USA,Waushara,44.182871,-89.246541,(920) 622-3257,,TRUE,
LATIMER COUNTY GENERAL HOSPITAL,A,806 OK-2,Wilburton,OK,74578,USA,Latimer,34.911923,-95.322917,(918) 465-2391,,TRUE,33
STONE COUNTY HOSPITAL,C,1434 E Central Ave,Wiggins,MS,39577,USA,Stone,30.845918,-89.116683,(601) 928-6600,,TRUE,
WICKENBURG COMMUNITY HOSPITAL,C,520 Rose Ln,Wickenburg,AZ,85390,USA,Maricopa,33.978155,-112.739235,(928) 684-5421,,TRUE,
UNITED REGIONAL HEALTH CARE SYSTEM,A,1600 11th St,Wichita Falls,TX,76301,USA,Wichita,33.902913,-98.500674,(940) 764-3055,http://www.urhcs.org,TRUE,362
KELL WEST REGIONAL HOSPITAL,A,5402 Kell Blvd,Wichita Falls,TX,76310,USA,Wichita,33.872454,-98.578769,(940) 692-5888,,TRUE,15
WICHITA VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,5500 E Kellogg Dr,Wichita,KS,67218,USA,Sedgwick,37.679911,-97.272384,(316) 685-2221,,TRUE,
VIA CHRISTI HOSPITALS WICHITA INC,A,929 N Saint Francis St,Wichita,KS,67214,USA,Sedgwick,37.700263,-97.331884,(316) 268-5000,http://www.via-christi.org,TRUE,884
WESLEY MEDICAL CENTER,A,550 N Hillside St,Wichita,KS,67214,USA,Sedgwick,37.695678,-97.298924,(316) 962-2000,http://www.wesleymc.com,TRUE,480
KANSAS SURGERY & RECOVERY CENTER,A,2770 N Webb Rd,Wichita,KS,67226,USA,Sedgwick,37.733078,-97.226155,(316) 634-0090,,TRUE,24
KANSAS HEART HOSPITAL,A,3601 N Webb Rd,Wichita,KS,67226,USA,Sedgwick,37.74965,-97.226524,(316) 630-5000,,TRUE,
GALICHIA HEART HOSPITAL LLC,A,2610 N Woodlawn Blvd,Wichita,KS,67220,USA,Sedgwick,37.731022,-97.262194,(316) 858-2610,,TRUE,
KANSAS SPINE HOSPITAL LLC,A,3333 N Webb Rd,Wichita,KS,67226,USA,Sedgwick,37.743802,-97.226486,(316) 462-5326,,TRUE,
VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,A,14800 St Teresa St,Wichita,KS,67223,USA,Sedgwick,37.7256354,-97.5140278,(316) 796-7000,,TRUE,
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,A,12401 Washington Blvd,Whittier,CA,90602,USA,Los Angeles,33.967588,-118.047888,(526) 698-0811,,TRUE,312
WHITTIER HOSPITAL MEDICAL CENTER,A,9080 Colima Rd,Whittier,CA,90605,USA,Los Angeles,33.951546,-118.004419,(562) 945-3561,,TRUE,
LAKE WHITNEY MEDICAL CENTER,A,200 N San Jacinto St,Whitney,TX,76692,USA,Hill,31.951073,-97.320163,(254) 694-3165,,TRUE,44
WHITFIELD MEDICAL SURGICAL HOSPITAL,A,3550 Highway 468,Pearl,MS,39208,USA,Rankin,32.237847,-90.074573,(601) 351-8400,,TRUE,
COLUMBUS REGIONAL HEALTHCARE SYSTEM,A,500 Jefferson St,Whiteville,NC,28472,USA,Columbus,34.338592,-78.694058,(910) 642-8011,http://www.cchospital.com,TRUE,117
MOUNTAINVIEW MEDICAL CENTER,C,16 W Main St,White Sulphur Springs,MT,59645,USA,Meagher,46.548063,-110.904503,(406) 547-3321,,TRUE,
WHITESBURG ARH HOSPITAL,A,240 Hospital Rd,Whitesburg,KY,41858,USA,Letcher,37.111752,-82.814068,(606) 633-3500,http://www.arh.org/,TRUE,67
SKYLINE HOSPITAL,C,211 NE Skyline Dr,White Salmon,WA,98672,USA,Klickitat,45.721923,-121.469043,(509) 491-1101,,TRUE,
WHITE RIVER JCT VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,215 N Main St,White River Junction,VT,5001,USA,Windsor,43.65028,-72.322204,(802) 295-9363,,TRUE,
WHITE PLAINS HOSPITAL CENTER,A,41 E Post Rd,White Plains,NY,10601,USA,Westchester,41.026315,-73.769479,(914) 681-0600,http://www.wphospital.org,TRUE,307
WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,A,785 Mamaroneck Ave,White Plains,NY,10605,USA,Westchester,41.014278,-73.755176,(914) 597-2232,,TRUE,
TRI COUNTY MEM HSPTL,C,18601 Lincoln St,Whitehall,WI,54773,USA,Trempealeau,44.364904,-91.318186,(715) 538-4361,,TRUE,
NORTH VALLEY HOSPITAL,C,1600 Hospital Way,Whitefish,MT,59937,USA,Flathead,48.380835,-114.330236,(406) 863-3550,,TRUE,
OHIO VALLEY MEDICAL CENTER,A,2000 Eoff St,Wheeling,WV,26003,USA,Ohio,40.060002,-80.721496,(304) 234-0123,http://www.ohiovalleymedicalcenter.com,TRUE,363
WHEELING HOSPITAL,A,1 Medical Park,Wheeling,WV,26003,USA,Ohio,40.066502,-80.695779,(304) 243-3000,,TRUE,276
PARKVIEW HOSPITAL,C,901 S Sweetwater St,Wheeler,TX,79096,USA,Wheeler,35.439727,-100.270792,(806) 826-5581,,TRUE,
EXEMPLA LUTHERAN MEDICAL CENTER,A,8300 W 38th Ave,Wheat Ridge,CO,80033,USA,Jefferson,39.769293,-105.089781,(303) 425-4500,http://www.exempla.org,TRUE,484
WHEATON COMMUNITY HOSPITAL,C,401 12th St N,Wheaton,MN,56296,USA,Traverse,45.808188,-96.500675,(320) 563-8226,,TRUE,
PLATTE COUNTY MEMORIAL HOSPITAL,C,201 14th St,Wheatland,WY,82201,USA,Platte,42.049833,-104.960249,(307) 322-3636,,TRUE,
GULF COAST MEDICAL CENTER,A,10141 Highway 59,Wharton,TX,77488,USA,Wharton,29.41622,-96.051945,(979) 532-2500,http://www.gulfcoastmedical.com,TRUE,128
ELMORE COMMUNITY HOSPITAL,A,500 Hospital Dr,Wetumpka,AL,36092,USA,Elmore,32.552265,-86.186934,(334) 567-4311,,TRUE,46
PALMER LUTHERAN HEALTH CENTER,C,112 Jefferson St,West Union,IA,52175,USA,Fayette,42.967807,-91.808745,(563) 422-3811,,TRUE,
CLAY COUNTY MEDICAL CENTER,A,835 Medical Center Dr,West Point,MS,39773,USA,Clay,33.618769,-88.662538,(662) 495-2300,,TRUE,60
ST FRANCIS MEMORIAL HOSPITAL,C,430 N Monitor St,West Point,NE,68788,USA,Cuming,41.843254,-96.706614,(402) 372-2404,,TRUE,
OZARKS MEDICAL CENTER,A,1100 N Kentucky Ave,West Plains,MO,65775,USA,Howell,36.737951,-91.875452,(417) 256-9111,http://www.ozarksmedicalcenter.com,TRUE,114
W PALM BEACH VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,7305 N Military Trl,Riviera Beach,FL,33410,USA,Palm Beach,26.783979,-80.107497,(561) 422-8600,,TRUE,
COLUMBIA HOSPITAL,A,2201 45th St,West Palm Beach,FL,33407,USA,Palm Beach,26.759111,-80.086041,(561) 844-6141,http://www.columbiahospital.com,TRUE,250
GOOD SAMARITAN MEDICAL CENTER,A,1309 N Flagler Dr,West Palm Beach,FL,33401,USA,Palm Beach,26.724484,-80.049904,(561) 655-5511,,TRUE,
ST MARY'S MEDICAL CENTER,A,901 45th St,West Palm Beach,FL,33407,USA,Palm Beach,26.753317,-80.062915,(561) 840-6202,,TRUE,
CLEVELAND CLINIC HOSPITAL,A,3100 Weston Rd,Weston,FL,33331,USA,Broward,26.080483,-80.365339,(954) 689-5000,,TRUE,
STONEWALL JACKSON MEM HOSP,A,230 Hospital Plz,Weston,WV,26452,USA,Lewis,39.047636,-80.492594,(304) 269-8080,,TRUE,70
ST CLARE'S HOSPITAL OF WESTON INC,A,Ministry Pkwy,Weston,WI,54476,USA,Marathon,44.8902425,-89.5781776,(715) 393-3000,,TRUE,
